time_stamp,open,high,low,close,volume,supertrend,trend,trend_flip
2026-08-03 09:15:00,24572.7,24576.45,24515.15,24530.1,0,24441.657551857083,True,True
2026-08-03 09:20:00,24530.15,24539.5,24515.5,24527.05,0,24441.657551857083,True,False
2026-08-03 09:25:00,24526.7,24551.95,24523.35,24550.2,0,24441.657551857083,True,False
2026-08-03 09:30:00,24550.25,24558.4,24541.8,24553.45,0,24455.64615530381,True,False
2026-08-03 09:35:00,24553.2,24557.0,24543.75,24554.4,0,24461.391539773427,True,False
2026-08-03 09:40:00,24553.25,24560.45,24550.35,24558.05,0,24472.284885796085,True,False
2026-08-03 09:45:00,24558.45,24558.85,24546.05,24548.25,0,24473.806397216475,True,False
2026-08-03 09:50:00,24548.1,24560.9,24545.75,24559.6,0,24478.00075749483,True,False
2026-08-03 09:55:00,24558.75,24571.6,24558.15,24564.7,0,24493.048181745347,True,False
2026-08-03 10:00:00,24564.1,24574.6,24559.05,24568.4,0,24497.51586357081,True,False
2026-08-03 10:05:00,24569.0,24572.9,24560.3,24567.2,0,24500.441777213728,True,False
2026-08-03 10:10:00,24567.15,24582.25,24563.85,24579.2,0,24507.987599492357,True,False
2026-08-03 10:15:00,24579.0,24592.45,24577.75,24588.15,0,24522.13383954312,True,False
2026-08-03 10:20:00,24588.0,24589.4,24572.8,24578.2,0,24522.13383954312,True,False
2026-08-03 10:25:00,24578.4,24586.85,24575.95,24580.8,0,24522.64541002993,True,False
2026-08-03 10:30:00,24580.15,24584.75,24564.4,24570.35,0,24522.64541002993,True,False
2026-08-03 10:35:00,24570.95,24585.45,24562.7,24584.2,0,24522.64541002993,True,False
2026-08-03 10:40:00,24583.95,24585.7,24575.6,24583.65,0,24523.70035391182,True,False
2026-08-03 10:45:00,24583.75,24589.45,24579.45,24588.85,0,24530.195318520637,True,False
2026-08-03 10:50:00,24587.65,24592.55,24585.05,24589.9,0,24537.72078666857,True,False
2026-08-03 10:55:00,24589.85,24595.9,24581.8,24586.45,0,24538.648708001714,True,False
2026-08-03 11:00:00,24586.9,24601.75,24585.65,24598.15,0,24543.688837201546,True,False
2026-08-03 11:05:00,24597.55,24602.55,24590.45,24593.65,0,24547.85995348139,True,False
2026-08-03 11:10:00,24593.95,24597.35,24584.9,24589.45,0,24547.85995348139,True,False
