trade_id,log_file,signal_ts,direction,entry_ts,entry_price,entry_spot,expiry,strike,right,exit_ts,exit_price,exit_reason,hold_min,pnl_pts,pnl_rs,mfe_pts,mfe_pct,mfe_ts,mae_pts,mae_pct,mae_ts,pnl_at_mfe_rs,trail_15_exit_pts,trail_15_exit_rs,trail_15_reason,trail_20_exit_pts,trail_20_exit_rs,trail_20_reason,trail_25_exit_pts,trail_25_exit_rs,trail_25_reason,trail_30_exit_pts,trail_30_exit_rs,trail_30_reason,pnl_rs_40lots
742,trade_0742_2023-07-07_0955_B.csv,2023-07-07 09:50:00,bullish,2023-07-07 09:55:00,193.95,19503.4,2023-07-13,19350,ce,2023-07-07 10:00:00,213.34,profit_target,5,19.4,1261.0,16.3,8.4,2023-07-07 09:59:00,0.0,0.0,,1060.0,19.4,1261.0,profit_target,19.4,1261.0,profit_target,19.4,1261.0,profit_target,19.4,1261.0,profit_target,50440
749,trade_0749_2023-07-21_0920_B.csv,2023-07-21 09:15:00,bearish,2023-07-21 09:20:00,151.25,19824.5,2023-07-27,19950,pe,2023-07-21 09:34:00,166.38,profit_target,14,15.12,983.0,18.75,12.4,2023-07-21 09:34:00,6.3,4.17,2023-07-21 09:21:00,1219.0,15.12,983.0,profit_target,15.12,983.0,profit_target,15.12,983.0,profit_target,15.12,983.0,profit_target,39312
750,trade_0750_2023-07-21_1425_B.csv,2023-07-21 14:20:00,bearish,2023-07-21 14:25:00,172.25,19749.55,2023-07-27,19900,pe,2023-07-21 14:50:00,189.48,profit_target,25,17.23,1120.0,20.6,11.96,2023-07-21 14:50:00,12.65,7.34,2023-07-21 14:37:00,1339.0,17.23,1120.0,profit_target,17.23,1120.0,profit_target,17.23,1120.0,profit_target,17.23,1120.0,profit_target,44798
755,trade_0755_2023-07-28_0920_B.csv,2023-07-28 09:15:00,bearish,2023-07-28 09:20:00,190.95,19630.45,2023-08-03,19800,pe,2023-07-28 09:27:00,210.05,profit_target,7,19.1,1242.0,18.35,9.61,2023-07-28 09:27:00,0.0,0.0,,1193.0,19.1,1241.0,profit_target,19.1,1241.0,profit_target,19.1,1241.0,profit_target,19.1,1241.0,profit_target,49660
759,trade_0759_2023-08-18_0920_B.csv,2023-08-18 09:15:00,bearish,2023-08-18 09:20:00,186.2,19306.85,2023-08-24,19450,pe,2023-08-18 09:50:00,194.0,max_hold,30,7.8,507.0,10.65,5.72,2023-08-18 09:45:00,14.5,7.79,2023-08-18 09:29:00,692.0,7.8,507.0,max_hold,7.8,507.0,max_hold,7.8,507.0,max_hold,7.8,507.0,max_hold,20280
760,trade_0760_2023-08-18_1310_B.csv,2023-08-18 13:05:00,bearish,2023-08-18 13:10:00,170.05,19273.95,2023-08-24,19400,pe,2023-08-18 13:40:00,166.75,max_hold,30,-3.3,-214.0,2.7,1.59,2023-08-18 13:12:00,7.75,4.56,2023-08-18 13:32:00,176.0,-3.3,-215.0,max_hold,-3.3,-215.0,max_hold,-3.3,-215.0,max_hold,-3.3,-215.0,max_hold,-8580
762,trade_0762_2023-08-25_1420_B.csv,2023-08-25 14:15:00,bearish,2023-08-25 14:20:00,175.35,19263.45,2023-08-31,19400,pe,2023-08-25 14:50:00,170.6,max_hold,30,-4.75,-309.0,2.5,1.43,2023-08-25 14:20:00,10.8,6.16,2023-08-25 14:46:00,162.0,-4.75,-309.0,max_hold,-4.75,-309.0,max_hold,-4.75,-309.0,max_hold,-4.75,-309.0,max_hold,-12350
770,trade_0770_2023-09-08_1135_B.csv,2023-09-08 11:30:00,bullish,2023-09-08 11:35:00,190.45,19794.3,2023-09-14,19650,ce,2023-09-08 11:39:00,209.5,profit_target,4,19.05,1238.0,20.85,10.95,2023-09-08 11:39:00,2.5,1.31,2023-09-08 11:35:00,1355.0,19.05,1238.0,profit_target,19.05,1238.0,profit_target,19.05,1238.0,profit_target,19.05,1238.0,profit_target,49530
774,trade_0774_2023-09-15_1435_B.csv,2023-09-15 14:30:00,bullish,2023-09-15 14:35:00,205.65,20189.05,2023-09-21,20050,ce,2023-09-15 15:05:00,215.0,max_hold,30,9.35,608.0,12.3,5.98,2023-09-15 15:03:00,4.4,2.14,2023-09-15 14:48:00,800.0,9.35,608.0,max_hold,9.35,608.0,max_hold,9.35,608.0,max_hold,9.35,608.0,max_hold,24310
775,trade_0775_2023-09-22_0935_B.csv,2023-09-22 09:30:00,bearish,2023-09-22 09:35:00,188.4,19730.4,2023-09-28,19900,pe,2023-09-22 09:56:00,207.24,profit_target,21,18.84,1225.0,20.9,11.09,2023-09-22 09:56:00,21.6,11.46,2023-09-22 09:38:00,1358.0,18.84,1225.0,profit_target,18.84,1225.0,profit_target,18.84,1225.0,profit_target,18.84,1225.0,profit_target,48984
